Survey Year,Institution Name,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Total Men's Team Participation,Total Women's Team Participation,Unduplicated Count Men's Participation,Unduplicated Count Women's Participation
2003,University of Michigan-Ann Arbor,NCAA,11340,11972,23312,362,400,359,399
2004,University of Michigan-Ann Arbor,NCAA,11676,12097,23773,394,423,391,422
2005,University of Michigan-Ann Arbor,NCAA,12074,12372,24446,378,407,378,407
2006,University of Michigan-Ann Arbor,NCAA,12218,12413,24631,379,384,379,384
2007,University of Michigan-Ann Arbor,NCAA,12556,12623,25179,371,382,371,382
2008,University of Michigan-Ann Arbor,NCAA,12587,12515,25102,402,395,400,395
2009,University of Michigan-Ann Arbor,NCAA,12812,12449,25261,400,365,399,365
2010,University of Michigan-Ann Arbor,NCAA,13255,12841,26096,399,381,399,381
2011,University of Michigan-Ann Arbor,NCAA,13441,13019,26460,500,511,448,415
2012,University of Michigan-Ann Arbor,NCAA,13745,13209,26954,511,516,450,399
2013,University of Michigan-Ann Arbor,NCAA,13814,13414,27228,518,509,451,400
2014,University of Michigan-Ann Arbor,NCAA,13789,13508,27297,528,511,455,412
2015,University of Michigan-Ann Arbor,NCAA,13642,13519,27161,531,556,456,455
