Survey Year,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,286569,11.5,114113,13.5,,,,
2004,303819,11.5,119201,13.5,,,,
2005,337005,11.5,124930,13.5,,,,
2006,405963,11.5,133927,13.5,,,,
2007,452294,11.5,126427,13.5,,,,
2008,485646,12.5,138556,13.5,,,,
2009,535848,12.5,134488,13.5,,,,
2010,530299,12.5,140598,13.5,,,,
2011,533351,13.5,159080,13.5,,,,
2012,562582,13,180936,13,,,,
2013,622782,13,187863,14,,,,
2014,820056,13,185937,14,,,,
2015,893119,12.5,220760,13.5,,,,
